Long	Lat	Source	Species	stat	Bio1	Bio2	Bio3	Bio4	Bio5	Bio6	Bio7	Bio8	Bio9	Bio10	Bio11	Bio12	Bio13	Bio14	Bio15	Bio16	Bio17	Bio18	Bio19
36.58	56.1	R29	PA	pt_nonhy	103	81	23	9361	305	-40	345	90	40	230	-10	663	72	36	21	208	124	157	148
53.1	56.5	R35	PO	pt_hy	88	92	22	10794	316	-87	403	78	21	229	-48	570	61	31	18	168	109	151	142
57.06	60.39	R38	PO	pt_hy	64	89	21	10809	292	-128	420	60	-7	206	-74	763	81	35	22	228	128	211	190
30.52	59.3	R5	PA	pt_nonhy	98	75	22	8969	286	-49	335	92	28	221	-7	597	68	33	22	198	118	127	144
25.38	58.24	R8	PA	pt_nonhy	104	72	21	8696	283	-44	327	103	223	223	3	586	78	28	35	214	99	99	154
25.57	47.58	RO_1	PA	pt_nonhy	113	101	28	8612	315	-35	349	156	7	230	7	636	96	38	32	241	127	178	127
23.04556	46.3625	RO_2	PA	pt_nonhy	141	110	31	8418	350	0	350	178	247	256	39	613	97	29	36	234	94	158	144
18.29	64.75	SEPA15	PA	pt_nonhy	50	93	25	9168	238	-124	363	173	-20	173	-64	658	77	31	21	195	115	195	157
58.42	57.14	SHA	PO	pt_nonhy	67	99	22	11295	299	-135	434	191	-6	212	-79	632	71	27	22	200	112	191	145
19.14917	48.7325	SK	PA	pt_nonhy	139	119	33	8436	353	-3	356	179	243	254	35	668	79	19	31	211	89	126	174
12.923	61.6	SWE_1	PA	pt_nonhy	59	78	24	8225	227	-96	323	152	-9	169	-41	711	91	29	28	227	114	207	147
12.923	62.063	SWE_2	PA	pt_nonhy	49	75	23	8102	212	-106	318	140	-19	157	-51	749	94	31	28	238	120	225	154
68.375	58.174	TOB	PO	pt_nonhy	56	93	20	12233	293	-166	460	192	-23	210	-105	503	62	17	29	174	77	164	101
64.37	57.03	TUG	PO	pt_nonhy	74	91	20	11839	308	-132	440	204	1	224	-80	459	65	17	31	165	71	162	93
87.976	65.79	TYR	PO	pt_nonhy	4	91	17	13566	262	-245	507	103	-104	177	-172	683	79	30	28	230	116	193	136
49.4	58.36	VYA	PO	pt_hy	85	70	19	10211	291	-71	362	73	23	220	-42	677	83	40	23	216	121	169	153
90.222	60.244	YAR	PO	pt_nonhy	35	108	20	14068	315	-216	532	45	-66	215	-148	606	71	25	26	191	94	172	134
